GUID	| Time
1538	|1,66735
1539	|1,690841
1540	|1,707971
1541	|1,750083
1542	|1,740671
1543	|1,749838
1544	|1,691776
1545	|1,715807
1546	|1,73319
1547	|1,719069
1548	|1,721686
1549	|1,766801
1550	|1,806972
1551	|1,774416
1552	|1,716303
1553	|1,795526
1554	|1,960472
1555	|1,775102
1556	|1,740663
1557	|1,658245
1558	|1,783213
1559	|1,724303
1560	|1,816313
1561	|1,774407
1562	|1,773697
1563	|1,683924
1564	|1,782787
1565	|1,781873
1566	|1,675765
1567	|1,72397
1568	|1,757911
1569	|1,774319
1570	|1,857327
1571	|1,691916
1572	|1,674343
1573	|1,717937
1574	|1,864782
1575	|1,748967
1576	|1,700454
1577	|1,723815
1578	|1,716351
1579	|1,741716
1580	|1,691109
1581	|1,592629
1582	|1,732112
1583	|1,724694
1584	|1,774956
1585	|1,749058
1586	|1,741756
1587	|1,674683
1588	|1,774417
1589	|1,700558
1590	|1,706964
1591	|1,749765
1592	|1,757335
1593	|2,066999
1594	|1,905344
1595	|1,815357
1596	|1,683401
1597	|1,683427
1598	|1,78239
1599	|1,691374
1600	|1,633888
1601	|1,757694
1602	|1,782343
1603	|1,733515
1604	|1,724499
1605	|1,641763
1606	|1,699185
1607	|1,708379
1608	|1,708329
1609	|1,682717
1610	|1,846865
1611	|1,818313
1612	|1,774053
1613	|2,007572
1614	|2,014251
1615	|1,732438
1616	|1,733234
1617	|1,807818
1618	|1,699733
1619	|1,699489
1620	|1,758023
1621	|1,758423
1622	|1,757388
1623	|1,715918
1624	|1,76635
1625	|1,766407
1626	|1,773224
1627	|1,68436
1628	|1,691366
1629	|1,748455
1630	|1,775436
1631	|1,799256
1632	|1,707609
1633	|1,709746
1634	|1,880985
1635	|1,691009
1636	|1,782978
1637	|1,666218
1638	|1,716867
1639	|1,682922
1640	|1,674553
1641	|1,774793
1642	|1,616658
1643	|1,691865
1644	|1,674435
1645	|1,766131
1646	|1,700219
1647	|1,674381
1648	|1,666603
1649	|1,71682
1650	|1,741077
1651	|1,749116
1652	|1,667274
1653	|1,765402
1654	|2,205491
1655	|1,750374
1656	|1,749015
1657	|1,657688
1658	|1,66762
1659	|1,691843
1660	|1,748624
