GUID	|Time
1138	|1,840433
1139	|1,848882
1140	|1,890506
1141	|1,849348
1142	|1,823515
1143	|1,724748
1144	|1,915104
1145	|1,840774
1146	|1,749407
1147	|1,699497
1148	|1,757867
1149	|1,832487
1150	|1,81555
1151	|2,195475
1152	|1,992251
1153	|1,823584
1154	|1,882243
1155	|1,740856
1156	|1,774478
1157	|1,749409
1158	|1,807498
1159	|1,716166
1160	|1,799536
1161	|1,782184
1162	|1,774526
1163	|1,887462
1164	|1,802195
1165	|1,8323
1166	|1,799455
1167	|1,881849
1168	|1,774243
1169	|1,882077
1170	|1,86602
1171	|2,337792
1172	|1,757768
1173	|1,766013
1174	|1,799369
1175	|1,848695
1176	|1,807875
1177	|1,848401
1178	|1,815874
1179	|1,998247
1180	|1,849098
1181	|1,924123
1182	|1,897967
1183	|1,915575
1184	|1,931711
1185	|1,840572
1186	|1,841091
1187	|1,807287
1188	|1,807326
1189	|1,865405
1190	|2,006594
1191	|1,82411
1192	|1,824081
1193	|1,823945
1194	|1,815731
1195	|1,741248
1196	|1,898593
1197	|1,816026
1198	|1,956504
1199	|1,832487
1200	|1,907172
1201	|1,873639
1202	|1,915381
1203	|1,857148
1204	|1,898079
1205	|1,866335
1206	|1,923491
1207	|1,832287
1208	|1,72462
1209	|2,056074
1210	|1,757804
1211	|1,865966
1212	|1,790299
1213	|1,766171
1214	|1,793792
1215	|1,812949
1216	|1,832332
1217	|1,849012
1218	|1,766024
1219	|1,790895
1220	|1,823876
1221	|1,666869
1222	|1,666373
1223	|1,765844
1224	|1,749423
1225	|1,774405
1226	|1,798492
1227	|1,76649
1228	|2,22285
1229	|1,765937
1230	|1,798708
1231	|1,774194
1232	|1,749492
1233	|1,710255
1234	|1,89371
1235	|1,876571
1236	|1,931739
1237	|1,889986
1238	|1,915776
1239	|1,907294
1240	|1,915098
1241	|1,890457
1242	|1,956684
1243	|1,956743
1244	|1,840781
1245	|1,840445
1246	|1,990934
1247	|2,179873
1248	|1,82397
1249	|1,815908
1250	|1,890357
1251	|1,849624
1252	|1,732058
1253	|1,791064
1254	|1,766105
1255	|1,80791
1256	|1,806886
1257	|1,832472
1258	|1,807365
1259	|1,898785
1260	|1,873747
1261	|1,914631
1262	|1,775148
1263	|1,857013
1264	|1,856757
1265	|1,766741
1266	|1,995272
1267	|1,810357
1268	|1,76591
1269	|1,848906
1270	|1,741394
1271	|1,807237
1272	|1,831853
1273	|1,858098
1274	|1,840266
1275	|1,757831
1276	|1,758269
1277	|1,823743
1278	|1,807802
1279	|1,699162
1280	|1,758088
1281	|1,806986
1282	|1,815888
1283	|1,740984
1284	|1,848964
1285	|2,247144
1286	|1,873699
1287	|1,849158
1288	|1,857169
1289	|1,823919
1290	|1,849133
1291	|1,799496
1292	|1,782176
1293	|1,774325
1294	|1,843845
1295	|1,796452
1296	|1,76552
1297	|1,799543
1298	|1,832037
1299	|1,890591
1300	|1,815531
1301	|1,832573
1302	|1,823871
1303	|1,774861
1304	|2,279601
1305	|1,81579
1306	|1,774471
1307	|1,865572
1308	|1,807262
1309	|1,758296
1310	|1,73216
1311	|1,849106
1312	|1,799104
1313	|1,873943
1314	|1,848979
1315	|1,832269
1316	|1,840517
1317	|1,915409
1318	|1,873954
1319	|1,882067
1320	|1,782533
1321	|1,848816
1322	|1,865577
1323	|2,031372
1324	|1,832844
1325	|1,740872
1326	|1,774482
1327	|1,790042
1328	|1,874487
1329	|1,807766
1330	|1,848487
1331	|1,799313
1332	|1,824337
1333	|1,740729
1334	|1,931754
1335	|1,782634
1336	|1,774646
1337	|1,749051
1338	|1,798876
1339	|1,77473
1340	|1,840893
1341	|1,782369
1342	|1,84053
1343	|1,814396
